Gene Symbol	KO1	KO2	KO3	KO4	KO5	WT1	WT2	WT3	WT4	WT5
Ndufb6	1130.2	1193.2	959.1	1489.4	1088.6	823.5	1049.4	1445.6	925.2	942.8
Mrpl49	17.2	18.1	12.6	24.4	16	12.4	12.4	26.8	13.4	14.1
Nup153	778.9	932	663.7	1070	810.8	591.2	771.1	1054.5	708.5	722.4
Clic1	184	196.5	126.9	242.8	174.6	136.6	176.7	245.8	143.5	140.5
	219.5	284.3	197.8	307.1	261.4	178.1	232.5	305.1	224	212.5
Stau1	833.7	835	699.8	1094.8	850.2	562.5	754.9	898.4	737.3	737.9
Mtss1	58.2	63.9	56.2	76.7	70.8	46	61.5	73.9	44.3	59.2
Akt1s1	227.3	266.5	214.1	297.4	277.2	182.1	234.9	337.2	215.7	266.5
Grsf1	158.4	163.6	103.7	168.6	133.3	103	130.9	188.2	117.6	127.6
Ctnna3	22.2	27.2	21.8	27.4	23.3	27.4	22.6	24.1	30.6	18.3
Nme1	138.7	149.6	103.6	176.2	141	88.7	117.3	151.7	126.8	117.8
Tmsb15l	370.2	455.8	302.7	495.6	499.1	302.8	334.4	553.8	356.8	398.1
CLU	152.1	154.8	115.3	199	137.3	102.9	139.3	192.1	113.2	123.7
Nudc	1747.4	2129.9	1465.2	2295	1970.6	1259.2	1786.4	2595.3	1656.5	1717
Rnaset2a	339.7	358	265.3	409	359.5	249.9	318.1	422.1	281.6	325
Btf3l4	2468.1	2946.2	2172.6	3229.3	2824.4	1731.2	2328.2	3435.7	2331	2857.8
Tcea1	926.9	1195.5	842.7	1247.5	1006.1	700.5	900.5	1451.4	880.3	946.9
Selenoo	69	66.6	52.7	73.8	57	44.6	52.8	70.5	63.6	51.3
Phactr4	345.5	390.9	296.2	457.8	388	228.5	350.5	461.4	316.6	359.4
Zswim8	50.5	63.7	44.1	89.6	69.5	43.7	56.5	57.1	55	53.8
Clcc1	505.1	550.7	406.1	629	506.5	347.5	495.9	693	463.1	428
Hfe	67.4	77.9	50.3	79.1	63.6	45.6	66.1	68.9	50.3	55.1
Eif1a	519.7	555.7	420.5	685.5	522.9	387.6	467.2	534.3	518	482.6
Manbal	168.5	213.2	151.8	207.4	183	125.9	134.4	186.1	169.5	182.6
KNG1	212.2	198.9	172.1	282.5	189	113.9	194.5	308.9	148.4	169
Nap1l4	1485.3	1792.5	1270.5	2064.9	1786.7	1191.6	1490.4	2152.1	1453.1	1624.5
	475.7	455.8	316.7	670.5	425.7	263	440.9	622.3	356	357.7
Saysd1	272.1	242.9	213.7	337.2	244	162	236.8	323.7	217.3	210.5
Snrpa1	454.9	488	339.1	579.4	439.9	315.8	416	570	404	379.6
Srpra	1376.2	1183.3	1038.5	1460.2	1216.8	834.8	1237.6	1033.1	1069.8	1013.4
Bet1	37.6	36.1	35.8	47.1	37.2	24.7	39.4	38	33.3	35.2
Phpt1	488	534.7	373.3	580.5	513.5	352.9	480.8	544.3	407.4	430.6
Scarb2	1946.2	1750.7	1443.3	2113.4	1917.4	1221.9	1444.7	2031.7	1527.9	1676.3
Gng12	704.5	720.7	520	781.4	638.3	490.5	623	884.8	565	538.4
	1409.9	1600.8	1096	1901	1270.3	876.6	1667.1	2316	1224.2	1199.3
Lrp1	7132.4	8224.1	6063.8	8835.4	7204.4	5228.8	7013.8	8562	6325.1	6445.9
Lin7c	525.3	525.5	450.1	651.3	543.7	343.6	441.3	683.8	465.9	538
Pym1	581.9	676.2	495.9	768.9	713.2	424.2	572.3	854.2	548.7	640.9
H2bc14	9350.5	10067.1	6948.3	11128.7	7655.8	6892.5	8952	11574.1	7136.6	6587.2
Rps25	2977.7	3124	2597.8	3475.5	3083.1	2060.5	2642.1	3302.3	2642	3107.4
Lsr	779.2	822.9	653.4	968.1	790.4	559.4	738.1	899.7	691.4	664.9
Hgs	728.7	723.3	542.1	1002.3	735.3	550.3	717.2	1167.8	637.6	609.5
Mtmr10	60	59.1	55.1	84.1	64.9	47.5	58.8	74.9	55.1	56
Dbi	4840	5904.1	4864.7	6695	6001.5	2875.6	3851.7	7147.6	4849.1	4929.8
Mtdh	203.6	244.2	193.1	290	229.9	139.6	211	321.7	198.4	237.7
Pawr	240.6	217.6	172.2	268.5	253.3	164.7	181.8	275.7	186.8	223.3
Uri1	290.2	331.5	249.6	383.2	336	224	269.2	369.9	269.5	291.9
Sec16b	61.6	71.3	68.7	90.7	93.9	53.3	64.8	79.3	85.1	77.1
Srsf1	1766.4	1671.1	1622.3	1980.7	1732.5	1122.7	1691.9	2667.8	1268.4	1547.6
Cald1	4992	5254.7	3634.4	6392.8	5183.8	3469.8	4402.2	7041.4	4437.3	4771.5
Mapre1	411.8	454.1	319.9	514.8	452.6	312.7	381.6	519.6	349.5	386.7
Zw10	168.1	154.6	116.5	204.3	158.6	106	148.4	213.6	139.4	139.9
Hook1	193.7	219	150.6	236.2	242.2	137.3	173	234.8	172.3	207.8
Urad	952	1104.7	881	1336.5	1110.3	748.9	916.6	1454.5	899.2	879.6
Ndufa8	1570.6	1717.2	1341.9	2014.1	1367.3	1182.6	1631.6	2483.2	1396.3	1182.9
Nup50	330.3	388	274.5	464.8	346.4	233.8	310.9	424	304.5	323.6
Srsf10	185.4	201.4	155.8	228.8	190.2	131.5	188.2	253.3	157.7	158.2
Anp32b	665.7	817.1	586	848.1	773.8	463.3	637.4	875.4	615.3	689.2
Gm2a	1071.1	969.6	721.1	1348.8	891.4	623.4	806.4	1358.6	789.2	774.6
Mcee	218.2	209.3	140.1	310.4	185.9	137	189.4	285.8	161.4	167.3
Lgmn	1002.3	923.6	662.3	1138.1	769.3	696.5	835.7	989.8	696.3	608
Rab8a	563.3	526.7	457.3	661.1	490.2	395.4	711.3	670.7	442	428.1
Ccdc167	73.1	73.8	57.6	80.9	71.5	50.6	63.4	91.5	62.3	57.7
Nr3c1	199.2	209.3	162.2	232.4	186.4	131.8	178.7	217.4	168.8	162
Reep5	187.5	200	160.9	249.5	157.8	133.4	163.5	261.8	195.1	157.8
Tcea3	129.9	136.1	103.2	154.4	142.9	95.1	119.6	172.6	107.5	109.9
Tubb5	211.6	236.4	163.5	264.2	208.2	168.3	211.3	221.7	188.8	179.3
Mrpl41	1349.1	1094.5	845.9	1742.8	1024	719.3	1004	1400.7	900.7	958.2
Zwint	227.6	220.3	194	270.6	227.5	168.2	193.2	243.9	193.1	226.2
Tpr	4385.7	4841.8	3477.4	5156.3	4620.8	3256.2	4130.7	5738.6	3913.9	4196.2
Fbxo3	86.2	88.2	79	107.1	99.4	77.6	80.5	94.1	75.4	95.4
Cpsf7	157.7	165.6	120	206.9	169.5	119.2	154.6	194.2	125.7	142.9
Zbtb20	223.4	229	179.4	252.4	199.8	139.9	200.5	221.7	195.4	214.5
Itsn1	235.8	263.9	188.8	349.6	267.8	186	207.6	248.1	215.7	230.4
Snapin	79	99.5	64.3	100.4	83.8	57.5	77.3	91.1	73.2	90.6
Tmem38b	529.4	456.4	409.3	629.7	604.2	416.2	510	394	428	465.1
Uqcc6	123.7	124.1	96.5	145.7	111.1	69.3	112.7	163.9	99.4	103.1
Safb2	383	393.8	307	496.5	371.3	266.7	364.5	476.7	316.9	359.5
Gatad2a	68.9	83.3	55.6	92.7	73.6	43.1	77.3	112.9	65	46.1
1110065P20Rik	157	154.2	121.4	235.1	181.6	101.6	199.2	182.4	123.5	134.7
Vapa	3260.2	3156.5	2347.3	4022.8	2699.1	2079.5	2870.6	4272	2586.1	2469.9
Cycs	3660.5	3917.4	3402	4256.6	3215.2	2938.5	3363.6	3864.8	3111.3	3184.2
Romo1	218.5	260.8	203.2	293.5	253.3	176.7	234.6	304.1	213.4	209.8
Ppp1r7	1185.6	1484.4	924	1481.4	1345.2	860.4	1184.5	1857.8	1080.9	1244.3
Ppfibp1	206.9	255.8	185.5	300.5	335.3	177.3	205.3	258.4	195.3	244.3
Slc2a9	323.6	360.1	264.1	407.4	321.6	286.3	361.9	349	280.9	276.3
Stbd1	2915.2	3311.8	2713.3	3900.8	3548.5	2286.2	3011.9	4037.8	2786.9	2817.9
Psmb9	206.6	174.5	171	239.8	185.4	144.2	179.5	226.1	175	169.7
Glg1	1154.9	1176.7	856.7	1276.8	958.5	764.8	1020.5	1421.8	932.2	897.2
Luc7l	78	79.6	72.2	85.6	72	47.9	67.5	78.6	66	67.4
Aif1	220.2	151.8	109.9	207.4	147.6	133.6	132	148.7	130.6	141.9
Fkbp15	417.8	449.9	329.3	556.4	456.8	316.8	355.1	450	374.1	418.5
Clip1	1228	1284.2	981.4	1637.9	1363.3	930.9	1176.8	1515.5	1058.6	1233.5
Hnrnpk	4955.4	6139.4	4186.8	6617.8	5544	3982.1	5243.4	7272.2	4889.2	4637.7
Rbm3	349.9	449.7	178.9	389.7	313.1	240.3	316.4	558.5	270.7	281.3
Nostrin	95.4	92.9	82.8	131.3	121.7	71.5	91.2	103	86.3	82.2
Myl12a	101	115.1	86.4	134.6	111.2	74.9	100.5	131.9	94.4	104.9
Yars1	2734.4	3106.3	2132	3401.6	2863.6	1967.1	2716.4	3144.4	2595.9	2384.6
Hycc2	106.8	120.1	84.9	151	118.7	77.8	99	148.5	98.4	118.3
Kif5c	22.4	27.1	20.2	28.9	25.2	12.8	15.4	29.6	21.2	20.5
Pik3ap1	82.9	102.5	66.2	125.3	93	69.7	85.5	113.3	82.6	73.5
Mprip	214.2	230.9	186.2	312.9	247.4	162.6	191.5	222.3	205.5	220.5
Znrd2	102.5	140	85.6	152.8	122.2	78	102.4	132.1	112.3	103.9
RTRAF	1694.5	1931.7	1462.8	2148.2	1801.5	1141.5	1519.8	2352.1	1571.4	1596.4
KNG2	1344.9	1375.7	1097.5	2082.3	1219.4	714.5	1507.1	2217.2	1021.1	1084
Rbpms	244.4	292.2	195.2	334.6	247.7	151.6	194.7	309.3	219.6	230
Grcc10	161.6	187.4	131.9	207.1	154.6	105.5	134	211.4	145	164
Ahnak	468.8	434	297	607.5	397.7	301.6	336.4	471.3	317.2	343.2
Inpp5f	51.6	64.2	45.1	77	64.4	44.6	53.2	81.5	51.7	57.1
Ccdc124	1904.8	2068	1579.3	2426.9	2009.6	1271.4	1707.3	2344.6	1708.9	2029.4
Eif4ebp2	22.6	23.6	17.7	30.9	24.3	17.4	21.7	24.9	17.8	19.5
Hnrnpf	1044.2	1295.4	872.3	1428.6	1119.9	840.9	1029.4	1385.9	1081.3	911.1
Ero1b	63.4	60.6	52.3	66.1	70.3	56.1	59.9	51.3	68	50.6
Ctnna1	3928.4	4275.5	3126.3	4713.7	3965.4	2947.6	3742.1	5220	3512.8	3570.7
Igtp	826.6	523	559.7	663.6	520.9	900.8	590.2	495.9	446.1	466.3
Dixdc1	185.6	184.7	175.2	215.6	231.1	131.8	181.3	200.9	174	189.1
Golph3	356.1	422.4	312.4	474.9	332.6	268.8	358	556.5	431.1	303.6
Ak2	7235.6	7624.8	5696.9	8950.3	6226.1	5764.7	6970.4	9730.9	6251	5239.9
Bloc1s5	165.5	154.5	112.7	182.9	147.4	110.7	145.6	193.4	120.6	145.6
Ndufb11	641.7	697	555.9	849.9	600.2	485.7	656.7	854.6	554.8	533
Gramd2b	61.5	71.9	54.7	62.1	64.5	41.9	51.2	79.6	58.3	54.2
Larp1	1439.7	1621.6	1130.2	1857.2	1697.5	1060.9	1381.5	1706.9	1334.4	1419.7
Ppie	89.1	119.7	74.7	126.5	95.8	60.1	80.1	130.1	85.2	89.3
Rbp1	72.4	71.5	41.3	102.6	67.7	41.1	44.1	76.8	60.2	64.5
Tdrp	89.3	107.1	77.5	136.5	98.9	74.5	83.6	91.9	126.5	105.9
Wipi2	114.4	113.6	99.4	126.9	125.4	73.8	139.4	112.2	102.6	129.8
Mcrip2	385	412.2	332.8	596.3	406.4	242.3	345	506.6	346.5	372.4
Dohh	276.9	279.3	212.6	300	244.6	189.6	244.7	312.4	216.3	208.8
Bsdc1	457.6	504	412.4	599.8	545.4	299	424.9	580.2	426	479.2
Ppp6r1	295.7	395.1	251.2	421.4	347	247.6	312.2	497.8	308.7	298.1
Nup93	266	268.8	204.7	327.1	262.4	202	259.5	269.8	210.1	243.9
Tpd52	615.6	656.6	474	802.4	708.6	469.1	559.1	727.3	542.9	653.1
Cdkn2aip	90.1	104.1	103	120	121.7	74.6	77.9	134.7	81.8	94.3
Cd38	280.4	268.9	188	332.6	244.8	187.5	222.6	311.5	198.9	220.1
Ddrgk1	1221.1	1093.9	825.8	1528.7	1122.2	727.3	1053	1603.9	998.8	1030.8
Sf3b1	617.1	653.1	501.9	808.3	646	468.2	602.9	670	559.4	580
Tpp1	320.2	364.5	254.8	345	289	217.9	268.6	362.8	284.2	252.6
Cox4i1	575.9	434.8	404.2	807.5	492.9	314	535.8	780.2	361.1	421.1
Nup54	350.7	370.4	257.9	451.8	306.1	258.5	329.8	477.1	314.9	276.2
Pdcd10	347.1	383.5	279.9	401.5	370.4	264.9	315.2	341.2	366.1	388.4
Ssr2	1570.3	1486.2	955.7	1861.3	1245.1	932.8	1371	1704.9	1225.7	1143.8
Gcc1	48.7	57.4	43	64.7	71	40.1	38.6	57	41.5	54.1
Cnot2	322.5	362.7	271.4	412.4	375.9	582.6	332.5	352.5	284.4	315.8
FGA	748.5	853.4	703.1	1280.2	821.5	465.5	824.8	1880.5	669.8	698
Hbs1l	512.7	582.8	509.1	677.6	591.3	421.9	537.4	594.4	528.2	554.1
Ilf3	226.9	198.8	168.4	267.8	199.6	148.1	215.4	214.5	160.8	183.8
Sh3bgrl3	853.2	668.6	437.7	943.3	526.8	471.8	475.6	683.9	450.4	529.5
	635.8	754.6	563.7	831.2	698.4	447.2	609.6	931	611.7	729
Ppp1cb	320.8	386.1	310.6	410.1	366	258.8	365.6	384.3	298.1	347.2
Pla2g12b	391.9	428.6	368.8	480.1	369.6	299.4	376.4	520.6	374.5	319.9
Tomm22	202.2	232.3	175.2	259.4	201.5	153.5	202.8	260.4	199.4	164.1
Eps8l2	1151.7	1528.4	1160.1	1532	1184.8	878.4	1189.9	1453.6	1127.7	1110.4
Lmo7	318.9	337.2	267.6	434.9	371.1	236.1	289.5	389.2	287.9	303.4
Pcbd1	1261.9	1474.2	1370.2	1675.7	1387.7	911.3	1199.7	1808.1	1233.6	1422.5
Gm20547	184.7	183.2	160.6	203	185	139.7	195.1	206.2	163.1	155.5
Fcgrt	834	854.1	679.2	1116.1	783.2	495.2	701.8	989.8	705.7	763.5
Nup98	234.3	207.2	175.1	307.7	196	144	206.5	282.9	175.6	174.2
Mocs2	330.7	403.2	303	430.3	385.3	258.1	350.5	501	317.1	339.9
Ndufb9	776	812	676.1	975.4	769.4	593.5	766.9	937.8	700.7	705.1
Atxn2	630	695	552.9	849.7	740.8	479.1	599.3	692.7	598.9	661.6
Grb2	373	417.1	296.3	487.3	380.6	284.8	377.9	557	337.8	330.2
Nat8f3	119.1	103.6	79.8	128	104.5	120	103.7	102.4	136	89.6
Cmtm4	231.6	229.1	183.5	281.5	200	144.7	197.8	319.7	190.5	185.9
Gak	534.9	642.5	547.6	712.4	730.9	450.1	507.6	606.1	575.7	635.1
Nsfl1c	2014.5	2460.6	1612.8	2765.5	2262.8	1480	2094.8	2998.3	2033.4	1941.2
Dnajc25	95	73.3	89.2	88.7	95.3	78.4	124.6	84.2	76.4	81.7
Hnrnpd	2115.2	2641.1	1707.8	2421.3	2158.1	1620.1	2218.1	2988.1	1777.9	1785
Ndufa6	1600	1700.6	1355	2173.1	1488.1	1191.8	1664.5	2203.9	1399.2	1270.6
Casp8	784.3	975.3	672.6	1081.7	872.7	623.1	761.9	1087.5	808.1	748.9
Cops8	379.1	456.2	313.2	475.3	424.8	297	388	509.9	347.9	395.4
Ppia	7390.3	9522.5	6026.9	10127.2	7919.5	5772.5	7874.9	12427.8	7374	6564.6
Polr2a	25.1	21.3	16.6	28.5	21.6	16.4	18.4	22.7	20.3	20.1
Ebag9	45.7	46.1	43.4	68.5	58.4	36.2	41.8	67.3	45.1	50.5
Farp1	58	59.5	62	80	55.5	39.1	56.7	63.3	57.7	61.5
Nelfe	75.7	79.1	50	89	87	47.4	66.6	93.7	65.7	80.5
Slc20a2	90.2	78.5	84.6	96.8	74.9	60.5	75.7	86.8	70.9	81.2
Ilkap	149.2	118.2	86.2	121	105.8	79.4	105.2	108.6	110.6	112.5
Hook2	95.6	112.6	79.1	110.2	113.7	72.4	86.2	121.1	86.5	96.1
GC	5466.8	5711.6	4248.1	8297.2	5068.4	2976.4	5694.9	7798.6	4209.1	4540.2
Hyal1	207.5	213.7	144	218.1	187.4	142	162.9	250.5	201.9	152.5
Ubxn7	436.8	493.3	354.1	538.7	466.5	298.3	442.5	582.2	358.9	440.8
Rai14	1064.1	1178.5	937.1	1372.4	1193.7	809.5	1007.8	1293.6	976.9	1023.4
Mrps33	145.4	154.4	117.1	177.9	128.9	102.9	140.4	205.8	128	126.9
Prpf40a	763.3	804.9	685	966.5	815.9	603.1	865	846.7	692.7	800.8
Chmp2a	86.2	109.6	72.6	126.9	107.6	76.9	80.7	105.8	95.8	87.5
Stx6	289	319.4	265.4	434.2	317.8	221	278.5	385.4	276.1	307.8
Mettl2	87.2	97.9	67.7	127.4	117.5	57.7	79.8	97.9	85.1	95.9
Naa15	167.6	189.4	156.6	212.9	179.3	133.3	181.1	189.7	145.7	153.9
AFM	1277.9	1345.9	987.4	2029.7	1338.2	736.5	1288.1	1875.5	1002.5	1125.1
Brcc3	69.3	65	62.8	80.4	71.8	53.2	60.7	75.6	80.8	68.5
Sec22b	1601.3	1547.8	1400.5	2041.5	1487.9	1218.3	1671.9	1751	1548.9	1334.4
Asph	352.8	377.3	335	447.8	348.1	270.9	340.9	404.1	329.8	297.1
Rnf213	306.5	298.8	244.6	342.4	292.6	225.9	283.1	263	235.5	262.2
Aga	343.6	348.1	306.3	386.5	333.4	222.7	303.3	414.5	299.1	314.4
Mrpl53	775.9	633.4	524.8	915.9	523.5	448.2	622.7	950.1	546.8	517.1
Snx1	199.9	213	162.8	246.5	211.9	137.6	178.1	281.9	181.5	186
Sh3glb1	313.7	322.1	229.7	385.6	294.3	226.7	246.7	400.3	265	269.4
Cbr1	2530.7	3213	2461.3	3542.4	3071	2207.5	3026.9	3849.1	2541.6	2519.1
Hrg	154.8	165.1	146.1	176.8	139	133	149.2	164.3	137.3	137.9
Afm	91.4	80.5	64.9	105.3	83.1	63.2	73	103.9	64.8	73.9
Exosc10	34.4	42.9	25.9	45.1	38	27.2	35.6	41.8	37.4	32.1
Dhcr7	298.9	263.3	245.4	392.4	484.4	239.1	298.3	327.6	278.2	229.6
Lnpk	273.4	293.7	221.6	310.2	259.1	176.3	238.5	347.7	250.5	223.4
Sf1	581	631	482.8	683.3	573.8	387.6	532.9	702.2	515.6	520.8
Bloc1s1	387.9	442.8	330	486.4	418.8	256.9	362.2	504.9	360.6	406.6
Rpap1	152.4	159.1	125.7	168.7	149.1	121.7	147.1	173	123.9	126.7
Ppp1r2	215.6	213	177.1	271.7	183.4	142	250.7	321.1	174.5	177.3
Cmpk1	1756	2199.2	1421.6	2488.1	2582.4	1398	1792.1	2599.6	1829.5	1889
Qki	191.5	207	167.4	231.7	184.5	143.2	190.7	207.6	177	175.9
Mbl1	183.6	208.6	164	253.5	187.6	144.9	179.3	215.3	187.8	154.4
Coro1b	309.8	313.7	262	441.8	359.4	248.4	283	335.8	281.7	334.6
Scamp1	634.3	703	519.9	749.4	602.2	417.2	634.9	920.5	555.8	533.3
H2az1	1004.1	1123.3	739.5	1188.6	842.4	778.8	980.2	1536.4	824.8	707.6
Numb	556.4	582.6	492.2	768.1	635.6	435.1	567.5	591.3	526.9	597.5
Tollip	256.4	287.9	252.6	355	288.2	219.4	255.1	314.8	253.7	285.4
Uqcc2	256.9	274.1	223.2	328.5	239.6	185.8	265.3	317.4	211.9	223.6
Sugt1	173.7	170	131	216.1	173	101	173	237.6	120.7	158.4
Plrg1	342.5	325	265.3	411.8	308.9	210.6	314.2	335.2	258.7	269.1
Gm49366	32.3	30.9	21.5	40.2	33.4	24.9	27.6	34.5	31.2	29.7
Mrps18b	473.6	484.5	384.8	573.9	458.9	335.6	459.1	571	430.2	388.9
Tsnax	44.8	71	41.9	70.6	56.8	37.1	56	97.1	51.8	49.1
Hdgfl2	109.7	129.3	110.5	153.2	150.7	90.5	126.5	118.8	114.2	117.7
Ndufa12	748.5	839.1	710.6	1009.4	783.5	581.8	782.1	916.2	745	676.8
Prrc2c	1113.6	1196.3	896.7	1475.5	1446	858.8	1120.6	1269.7	969.8	1289.6
Hpn	732.2	743.8	587.6	861.7	792.6	551.5	661.3	757.3	640.2	715.4
Ninj1	105.9	111.7	80.1	131.2	92.1	71.2	103.5	126.5	82.2	122
Metap2	774.1	938.8	639.4	1022.5	880.9	595.9	814.5	1091.7	779.3	729
Fam234a	536.8	563.5	460.5	704.8	519.9	407.8	527.8	651.5	479.8	488.6
Cd5l	271.3	219.8	182.8	325.2	223.3	170.3	188	246.7	184.2	195.7
Nup62	281.2	283.5	231.5	325.5	259.2	204.8	245	305.2	233.1	275.8
Apoa2	1341.7	1115.8	891	1406.2	1339.7	840.4	673.8	1260.5	1079.9	1381.4
Tpm2	415.9	433.8	340.4	520.3	401.5	306.3	340.3	446.9	336.2	470.8
Enpep	4725	4806.5	3673.3	6503.1	4314.4	3171.8	4566.2	5518.3	3852.6	3846.4
Mat2a	236.6	209.6	208.4	225.3	212.5	154.9	212.9	184.4	204.7	267.5
Gatc	105.3	113.5	89.7	129.8	104.7	76.2	98.3	123.7	94.7	97.5
Nenf	110.4	100.5	94.8	128.7	110.4	82.3	100.5	130.8	99.2	95.9
SERPIND1	394.3	432	292	638.1	411.1	267.1	450.7	613	354.6	345.8
Golga4	484.1	593.8	391.3	628.3	592.8	370.1	462.2	656.5	467.3	504.7
4930433I11Rik	765.7	800.5	672.9	877	669.9	552.7	806.3	792.1	668	855.5
Cherp	182.8	198.5	156.5	212.1	193.3	128.5	184.2	214.1	153.2	188.2
Mtres1	561.4	481.4	367.2	676.2	449.1	342.9	390.6	621.4	356.8	403
Ccdc86	74.9	87.7	63.8	111.2	81.4	52.8	65.2	97.1	83.5	70.2
	6439.4	2228.4	1782.3	4017.6	3521.6	2532	3328.9	5664.8	2739.2	2854.6
Cdk13	40.5	41.9	46.5	54.6	39.6	28.9	43.7	44.6	31.6	42.5
Igf2r	987.9	1030.7	877.7	1274.1	985	712.5	955.7	1276.9	901.8	930.9
Cdkn2c	200.9	256.4	180.2	254.5	228.6	141.1	210.6	259.2	184.8	214.8
Rrbp1	49600.5	45199.5	35123.4	60563.7	41059	29019.1	39396.8	63959	37757.3	38711.3
Smc3	341.2	382.3	315.4	403.7	324.3	269.9	346.3	367.3	327.8	287.6
Fam83h	290.4	343.4	248.9	435.6	360.6	219.2	269.4	383.8	286.9	322.2
Chchd2	872.2	779.2	580.1	933.4	701.7	551.2	630.9	868.4	532	639.2
Krt18	13911.5	19749.4	9807.8	19463.4	16855.9	11933.8	15112.4	23967.1	15314.9	13911.3
Ddx46	706.6	770.1	613.1	816.1	772	517	715.4	808.6	615.8	675.4
Tnpo2	82.4	105.1	72.1	119.9	92.3	66.3	82.1	114.4	83.4	82.7
Tha1	200.9	197.1	159.7	239	161.1	159.2	185.6	201.9	178.5	156.4
Zfp326	131.6	102.6	89.2	138.2	111	78.9	111.5	140.7	108.8	86
Alg9	25	15	17.5	31.1	20	15.5	29.8	17.3	20.2	17.4
Rdh16	52.9	50.4	54.5	76.1	51.8	40.9	53.8	71.7	43.2	51.1
Tcerg1	346.7	373.2	299.4	460.4	380.3	264.4	358.7	454.7	316.9	302.1
Mrpl11	595.3	580.5	454.8	698.6	512.3	440.3	535.5	711.9	472.7	465.9
Plbd1	55.6	62.7	73.4	72	79.1	45.5	58.8	69.8	61.7	48
Habp4	840.1	971	701.1	1121.3	934.5	645.9	777.3	1116.5	812.5	997.3
Myh9	16959.6	17707.4	15320.3	22360.1	18618.7	13623.3	18355.9	16216.4	15545.9	17752.1
Ubl5	272.5	294.2	215	326.2	286.3	193.7	273.8	367.3	237.6	258
Alas1	82	120.9	105	138.1	106.1	76.6	112.6	119.2	167	125
DMKN	299.8	203	156.7	331.4	213	159.8	223.3	447.5	192.7	169
Cdc42bpb	173.8	188	167.1	285.9	218.7	158.7	184.6	206.4	175.5	193.3
Pdzd11	186	213.6	150.6	230.8	174.5	148.2	185.7	253.4	163.4	163.3
Smim20	77.5	88.3	56.8	111.2	79.9	57.1	87.1	106.5	61.2	69.3
Mtm1	43.7	50.5	38.5	50.1	38.5	33.9	49.9	45.8	41.7	37.8
Crk	128.9	143.8	99.4	174.8	143.4	102	123.5	166.6	110.1	124
Ube2b	85.2	85	76	106.9	87.9	67.4	79.5	117.7	70.1	82.7
Akap9	244.5	275.7	194.4	315.7	289.5	188.9	252.9	282.5	231	254.1
Afg3l1	137.8	165.1	120.4	174.1	121.9	109.2	133.8	146.9	134	121.4
Atp1b3	927.9	904.6	600.3	1072.2	769.1	620.9	842.9	1034.3	841.2	696
Ufd1	541.5	612.6	464.7	722.8	633	434.9	556.8	579.1	547.9	576.3
Rbm42	53.1	45.2	36.3	62.7	48	33.3	50	58.2	39.3	41.7
	266.3	278.1	201.9	349.9	272.6	201.1	255.6	353.5	244	241.5
Trim28	1824.6	2252.8	1481.1	2252.5	1844.6	1415.8	1936.3	2707.9	1600.5	1543.8
Hspa4l	27.3	28	24.4	33.3	28.3	17.3	29.2	31	23.5	24
Pdxdc1	190.7	248.1	209.7	260.9	266.2	168.7	183.3	250.8	223.5	236.6
Map7d1	50.3	72.1	57.4	86.9	70.4	51.2	53.1	86.3	56.3	60
Nhsl3	121.6	114.5	97.3	168	112.4	70.2	114.5	126.1	85.9	98.2
Abcf1	1236.3	1413.1	1160.1	1526.3	1406.7	1021	1059.5	1139	1185.4	1284.9
Lgals1	602.6	643.7	542	1218.2	710.9	452.3	436.3	687.7	814.2	1112.1
Tcirg1	252.3	241.7	222.8	326.9	302.4	219.6	255.2	246.7	235.9	225
Kank1	99.1	104.2	87.9	168.1	124	69.2	102.8	127.4	88.2	101.6
Naca	765.2	959.1	644.4	1028.6	884.3	606.4	838.8	1095.9	787.1	738.2
Cyp2a5	1051.9	1195.7	1137	1264.3	945.2	1017.2	1071.8	1054.3	964.8	1190.3
Lgalsl	64.9	63.4	51.6	79.7	63	43.3	60.1	75.3	57.2	63.4
Sppl2a	185.9	145.2	128.9	182	172.2	115.4	142.4	198	126.8	135
Plaa	13.7	20.4	14.6	19.3	17.9	15.1	17.1	13	19.3	13
Tjp1	1748.8	1852.4	1412.2	2353.6	1955.9	1359.4	1767.1	1871.2	1667.2	1626.8
Clmn	1166.9	1384.7	945	1635.2	1329.8	925.7	1203.5	1715.7	1163.3	1170.7
Tmf1	479.7	664.5	471.4	823	683	500	516.3	673.1	601.2	503.1
Fhit	68.9	95	89.8	106	121.2	66.5	82.8	96.2	91.7	81.2
Rabep1	584.8	636.9	476.4	768.3	657.9	425.9	508.7	732.7	537	555.7
Prss3b	36.8	33.2	27.9	42.3	46.1	26.8	36.2	81.8	24.2	30.1
Vcpip1	408.9	392.9	310.8	615.1	463.4	279.2	417.5	587.5	354	399.4
Dnajb2	220.6	278.7	183.6	336.1	257.5	198	209.9	339.9	276.7	223.3
Add1	115.8	125.1	87.3	147.6	118.8	87.5	111.1	128.3	121.5	102.4
Ruvbl1	277.5	312.3	229	366.5	286.1	196.9	308.4	350.9	245.8	249.3
Pnkd	236.9	241.7	184	278.6	188.3	172	249.5	281.2	195.5	163.3
Utrn	413.1	462.8	342.4	505.5	407.8	320.8	381.1	453.4	412.4	380.9
H2ac20	972.5	1205.2	697.4	1302.1	1004.2	772.4	1104.9	1280	799.3	762.4
